PICKUP_POSTCODE,No_Jobs,No_trips,total_trips,Latitude,Longitude
049441,13,1020,1033,1.287731,103.848872
049442,18,146,164,1.287745,103.848872
049443,27,98,125,1.287685,103.848879
049478,74,2947,3021,1.284479,103.849185
049479,688,8714,9402,1.284783,103.848898
049480,176,4029,4205,1.284512,103.848478
049481,19225,5377,24602,1.283741,103.848941
049482,218,191,409,1.283761,103.848624
049483,6889,5000,11889,1.283276,103.849632
049513,8947,6957,15904,1.285398,103.84953
049514,1043,3342,4385,1.285006,103.849706
049555,255,504,759,1.283912,103.847961
049556,59,277,336,1.283876,103.847936
049557,27,173,200,1.283854,103.847916
049558,47,321,368,1.283839,103.847901
049559,126,1333,1459,1.283821,103.847894
049560,579,376,955,1.283111,103.847655
049561,441,0,441,1.283494,103.847802
049562,51,0,51,1.283501,103.847806
049563,24,0,24,1.283469,103.847783
049564,13,9,22,1.283506,103.847812
049565,19,53,72,1.283511,103.847814
049566,19,0,19,1.283522,103.847817
049567,55,757,812,1.283478,103.847791
049568,104,0,104,1.283486,103.847796
049569,70,560,630,1.283216,103.847687
049570,31,386,417,1.282701,103.848393
049571,9,91,100,1.28319,103.847674
049572,0,26,26,1.283144,103.847654
049573,1,44,45,1.283078,103.847633
049574,7,53,60,1.283043,103.847607
049575,5,158,163,1.283015,103.847591
049576,56,1638,1694,1.282966,103.847573
049586,196,1234,1430,1.283952,103.847851
049587,8,9,17,1.284,103.847888
049588,5,13,18,1.284039,103.847908
049589,5,28,33,1.284056,103.847926
049590,4,5,9,1.284109,103.847957
049591,15,270,285,1.284128,103.847971
049592,5,15,20,1.284168,103.847986
049593,3,83,86,1.28419,103.848008
049594,2,90,92,1.284249,103.848033
049595,45,339,384,1.284303,103.848067
049704,207,1153,1360,1.282482,103.850541
049705,39,3679,3718,1.283041,103.85048
049706,0,72,72,1.282695,103.850478
049708,58,1681,1739,1.282578,103.850517
049709,33,2871,2904,1.282126,103.849686
049710,60,4173,4233,1.282049,103.849582
049711,274,6826,7100,1.282026,103.849453
049712,5126,2505,7631,1.282756,103.849922
049745,107,1880,1987,1.286271,103.849429
049747,1,241,242,1.286339,103.849421
049748,5,164,169,1.286347,103.849436
049816,137,1168,1305,1.285962,103.849989
049817,106,79,185,1.285935,103.849947
049818,24,100,124,1.285914,103.849848
049819,12,50,62,1.286168,103.849927
049820,17,39,56,1.286216,103.849899
049821,12,45,57,1.286257,103.849861
049822,45,52,97,1.286303,103.849835
049823,13,54,67,1.286351,103.849797
049824,8,62,70,1.286395,103.849766
049825,16,65,81,1.286449,103.84973
049826,26,87,113,1.286478,103.849719
049827,23,27,50,1.286555,103.849673
049828,9,61,70,1.28658,103.849668
049829,4,28,32,1.28662,103.849639
049830,2,25,27,1.28666,103.849616
049831,9,34,43,1.28669,103.849589
049832,2,43,45,1.286736,103.849555
049833,192,37,229,1.286756,103.849518
049834,4,22,26,1.286788,103.84948
049835,2,14,16,1.286814,103.849464
049836,1,10,11,1.286872,103.849447
049837,5,3,8,1.28691,103.849426
049838,5,4,9,1.286971,103.849413
049839,13,5,18,1.287026,103.849399
049840,11,6,17,1.287047,103.849392
049841,3,4,7,1.28707,103.849389
049842,6,5,11,1.287155,103.849381
049843,11,11,22,1.287188,103.849375
049844,9,5,14,1.287249,103.849371
049845,1,4,5,1.287282,103.849365
049846,1,5,6,1.28733,103.849354
049847,36,4,40,1.287405,103.849331
049848,5,4,9,1.2875,103.849368
049849,6,1,7,1.287526,103.849366
049850,3,1,4,1.287569,103.849363
049851,3,1,4,1.287636,103.849375
049852,0,2,2,1.287683,103.849383
049853,1,1,2,1.287724,103.849388
049854,2,1,3,1.287747,103.849379
049855,2,1,3,1.2878,103.849383
049856,3,0,3,1.28786,103.849385
049857,7,1,8,1.287881,103.849388
049858,8,2,10,1.287927,103.849396
049859,1,1,2,1.287991,103.849398
049860,7,0,7,1.288044,103.849403
049861,23,2,25,1.288113,103.849399
049862,1,4,5,1.288133,103.849393
049863,1,4,5,1.288167,103.849383
049864,4,2,6,1.288226,103.84938
049865,5,12,17,1.288282,103.849369
049866,19,10,29,1.288321,103.849365
049867,11,4,15,1.288362,103.849352
049868,231,16,247,1.288391,103.849344
049869,51,90,141,1.288423,103.849338
049870,68,1113,1181,1.288485,103.849329
049871,11,688,699,1.288525,103.849291
049872,27,607,634,1.288582,103.849277
049873,136,8197,8333,1.288685,103.849255
049907,774,9299,10073,1.285861,103.852475
049908,1188,21347,22535,1.285576,103.852229
049909,14104,51965,66069,1.285539,103.851667
049910,17793,47530,65323,1.294129,103.808334
049944,4,1089,1093,1.28322,103.848581
049945,1,321,322,1.283212,103.848575
049946,0,311,311,1.283205,103.848573
049947,2,174,176,1.2832,103.848571
049948,14,148,162,1.283236,103.84859
049949,7,2624,2631,1.282888,103.848436
049950,0,18,18,1.282903,103.848387
049951,0,103,103,1.282954,103.848422
049952,3,145,148,1.282921,103.848394
049956,2,0,2,1.282505,103.847813
049957,3,0,3,1.282517,103.847797
049959,5,257,262,1.283106,103.848344
049960,7,147,154,1.283122,103.848359
049961,1,0,1,1.283093,103.848333
049962,2,0,2,1.283086,103.848326
049963,1,49,50,1.283075,103.848323
049964,2,0,2,1.2831,103.848341
049965,29,300,329,1.283357,103.848474
049966,0,159,159,1.282527,103.847785
049967,1,0,1,1.282662,103.848192
050004,264,93,357,1.281804,103.842975
050005,773,1928,2701,1.281201,103.843403
050032,35,2033,2068,1.284987,103.842602
050033,9,2704,2713,1.305997,103.89299
050034,273,2218,2491,1.286181,103.842138
050335,263,117,380,1.282573,103.843098
050336,344,8289,8633,1.282878,103.842565
050531,366,636,1002,1.284196,103.845699
050532,182,280,462,1.284151,103.845978
050533,402,329,731,1.284485,103.845439
050535,55,507,562,1.284574,103.846243
050536,26,473,499,1.284947,103.84561
050538,10,346,356,1.285205,103.845761
051335,152,203,355,1.282612,103.842892
051531,31,1189,1220,1.285321,103.845851
052335,90,75,165,1.282612,103.842892
053034,37,802,839,1.284403,103.84451
058267,141,13902,14043,1.287912,103.845033
058268,4309,17092,21401,1.288219,103.844659
058275,7,3,10,1.288454,103.843518
058276,0,4,4,1.288513,103.843569
058277,9,6,15,1.288554,103.843602
058278,11,348,359,1.288518,103.843327
058279,6,460,466,1.288624,103.843324
058280,9,677,686,1.288696,103.843331
058281,6052,19406,25458,1.288571,103.84587
058282,3949,13538,17487,1.289129,103.844223
058283,275,2332,2607,1.288815,103.843665
058284,11,855,866,1.286105,103.846399
058285,48,3165,3213,1.285885,103.847112
058288,358,14910,15268,1.286008,103.845719
058289,3067,12002,15069,1.285835,103.846177
058326,16,1397,1413,1.283767,103.84575
058327,5,397,402,1.283796,103.845699
058328,6,343,349,1.28383,103.845625
058329,26,399,425,1.28387,103.845557
058330,16,597,613,1.283889,103.845513
058331,16,627,643,1.283907,103.845487
058332,44,618,662,1.283947,103.84542
058333,22,370,392,1.283968,103.845385
058334,75,232,307,1.283996,103.845359
058335,14,273,287,1.28402,103.845309
058336,7,285,292,1.284047,103.845259
058337,10,148,158,1.352083,103.819836
058338,5,267,272,1.284115,103.845154
058339,15,87,102,1.284141,103.845125
058340,5,306,311,1.284093,103.845025
058341,39,908,947,1.284167,103.844889
058345,81,1225,1306,1.284376,103.844772
058348,176,992,1168,1.284442,103.844606
058353,350,1043,1393,1.284521,103.844487
058354,29,2492,2521,1.284584,103.844347
058357,1578,25016,26594,1.285699,103.843661
058358,99,27978,28077,1.285429,103.84363
058359,44,32944,32988,1.285366,103.843699
058360,4273,32110,36383,1.285239,103.843263
058362,259,889,1148,1.284788,103.843931
058400,163,648,811,1.288358,103.848548
058401,5,1088,1093,1.288341,103.848574
058402,4,38,42,1.288435,103.848478
058403,2,135,137,1.288468,103.848443
058404,1,400,401,1.288497,103.848403
058405,8,406,414,1.288534,103.848351
058406,12,119,131,1.28856,103.848331
058407,16,70,86,1.288589,103.848287
058408,4,48,52,1.288623,103.848247
058409,77,1075,1152,1.288637,103.848233
058410,24,927,951,1.288673,103.848174
058411,16,2233,2249,1.288699,103.84814
058412,9,1163,1172,1.288717,103.848125
058413,44,2956,3000,1.288748,103.848086
058414,39,2826,2865,1.288778,103.848018
058415,91,1743,1834,1.28881,103.847986
058416,5195,6961,12156,1.28887,103.848344
058455,1,1,2,1.283158,103.844412
058456,23,0,23,1.283282,103.84433
058459,3,0,3,1.283109,103.844339
058460,4,1,5,1.283216,103.844291
058461,1,1,2,1.28307,103.844322
058462,1,0,1,1.283161,103.844258
058463,1,4,5,1.283023,103.844294
058464,4,0,4,1.28313,103.844238
058465,0,42,42,1.282968,103.844261
058466,0,1,1,1.283066,103.8442
058467,8,497,505,1.2829,103.844227
058468,0,41,41,1.283028,103.844185
058469,11,299,310,1.2828,103.844163
058470,26,960,986,1.282988,103.844159
058471,4,8,12,1.282762,103.84414
058475,3,4,7,1.282622,103.844024
058476,288,39,327,1.282549,103.844038
058479,57,48,105,1.28271,103.844049
058556,37,522,559,1.282394,103.844988
058557,8,129,137,1.28241,103.844961
058558,21,118,139,1.282432,103.844919
058559,61,221,282,1.282456,103.844885
058560,45,157,202,1.28248,103.844842
058561,8,248,256,1.282508,103.844806
058562,127,22,149,1.28253,103.844756
058563,23,77,100,1.282554,103.844705
058564,3,42,45,1.282595,103.844626
058565,7,225,232,1.282683,103.844677
058566,5,55,60,1.282619,103.844581
058567,16,107,123,1.282719,103.844607
058568,210,41,251,1.282646,103.844545
058569,13,199,212,1.282741,103.844568
058570,58,118,176,1.282671,103.844494
058571,49,173,222,1.28275,103.84455
058573,7,165,172,1.282784,103.844492
058575,10,485,495,1.282812,103.844433
058577,12,647,659,1.282776,103.844516
058581,431,861,1292,1.283137,103.843903
058584,26,184,210,1.283032,103.843848
058586,2,116,118,1.283055,103.843791
058588,15,117,132,1.283084,103.84374
058590,1,120,121,1.283107,103.843688
058591,9,245,254,1.283249,103.843758
058592,12,55,67,1.283141,103.843643
058593,17,141,158,1.283274,103.843711
058594,4,70,74,1.283175,103.843592
058595,5,157,162,1.283288,103.843662
058596,7,69,76,1.283187,103.843569
058597,28,123,151,1.283326,103.84361
058598,3,82,85,1.283215,103.843523
058599,1,169,170,1.283364,103.843543
058600,25,68,93,1.283238,103.843489
058601,4,151,155,1.283376,103.84351
058602,4,71,75,1.283261,103.843449
058603,3,234,237,1.283396,103.843475
058604,13,71,84,1.283284,103.843398
058606,1,64,65,1.283284,103.843381
058607,10,465,475,1.283433,103.843411
058608,1,95,96,1.283296,103.843364
